856309,79682
7153,54870
544213,176378
852686,172236
853782,6382
9212,8833
32079,1211
6275,851978
57541,81672
8440,7222
855998,7375
26270,85376
10910,320713
3638,380064
827062,57403
817715,851225
828263,10462
54550,57534
856304,178846
10953,843468
174102,447433
26574,17932
174847,3695
26298,11622
190775,824627
13207,851640
850782,819244
835410,26413
64407,850779
31800,945517
856463,853940
7546,32133
224619,8563
851811,27351
174105,7760
856899,828481
11160,856689
840158,176954
175667,175885
855888,177111
29883,25416
819707,2539812
828602,73274
85364,23210
64013,5514
836012,122011
348995,823832
8682,18753
837113,26073
64337,179946
852173,838088
831810,827713
2957,823804
48481,202299
4352660,855422
855828,184984
42186,54541
2543607,44879
855477,67826
851813,64785
11124,818629
1994,51283
852492,852964
172554,7884
6550,100008935
51013,172278
818540,71648
147700,19885
73914,176481
26415,220441
4345634,853429
855859,10813
545486,177655
3932,852439
100506742,173986
826726,5897
5704,34734
854345,109305
5519,838782
8626381,399455
43700,173384
12236,379753
25920,824626
81822,26962
850686,67826
9631,225870
2675,9228
9015,3957
40828,14702
84823,180644
9051,230872
5962,79269
1785,326273
855005,58477
856305,3687
80764,78973
330627,854023
852678,23513
8553,11190
25953,12443
4093,177655
12346,946552
54942,1645
3647831,827837
837393,38412
548593,852818
851862,67451
34969,37402
855479,2542066
842620,21357
180645,855208
854999,7552
2983,839868
175010,997
827154,42267
92359,854193
855272,838957
852256,175764
2067,100036991
856837,856195
17928,166785
8078,827323
253980,79698
853468,820438
842674,5803
18103,177807
7004,851618
64013,173728
7391,84958
42464,399276
9015,843194
855819,100337511
1991,179538
238,55810
34263,9887
135,1959
51247,398349
853945,8399
173168,5108
42553,177889
176344,850703
12151,41162
42435,9133
7916,856208
41668,854227
856864,2993
2542615,34872
853529,172644
855013,7189
7184,180263
828570,172179
851761,852437
58186,821982
6950,839929
353115,816993
11016,852358
855689,26039
29803,55069
22359,821400
2139,541812
116554,2542045
5867,45821
25,81566
20977,3742
20683,856921
34126,830303
